,hospital,school,supermarket
2021-01-04 08:45:00,666.4200000000001,369.64,492.05
2021-01-04 09:00:00,675.6,369.63,517.83
2021-01-04 09:15:00,678.4175,371.02750000000003,511.8475
2021-01-04 09:30:00,681.235,372.425,505.865
2021-01-04 09:45:00,684.0525,373.8225,499.8825
2021-01-04 10:00:00,686.87,375.22,493.9
2021-01-04 10:15:00,689.2175,375.45500000000004,513.2275
2021-01-04 10:30:00,691.565,375.69000000000005,532.5550000000001
2021-01-04 10:45:00,693.9125,375.925,551.8825
2021-01-04 11:00:00,696.26,376.16,571.21
2021-01-04 11:15:00,690.525,375.9125,558.4000000000001
2021-01-04 11:30:00,684.79,375.665,545.59
2021-01-04 11:45:00,679.0550000000001,375.4175,532.78
2021-01-04 12:00:00,673.32,375.17,519.97
2021-01-04 12:15:00,683.3025,373.77,518.03
2021-01-04 12:30:00,693.2850000000001,372.37,516.09
2021-01-04 12:45:00,703.2675,370.97,514.1500000000001
2021-01-04 13:00:00,713.25,369.57,512.21
2021-01-04 13:15:00,714.48,369.565,509.83500000000004
2021-01-04 13:30:00,715.71,369.56,507.46000000000004
2021-01-04 13:45:00,716.9399999999999,369.555,505.085
2021-01-04 14:00:00,718.17,369.55,502.71
2021-01-04 14:15:00,718.2925,367.7075,500.56
2021-01-04 14:30:00,718.415,365.865,498.40999999999997
2021-01-04 14:45:00,718.5374999999999,364.02250000000004,496.26
2021-01-04 15:00:00,718.66,362.18,494.11
2021-01-04 15:15:00,720.5725,363.575,499.2375
2021-01-04 15:30:00,722.4849999999999,364.97,504.365
2021-01-04 15:45:00,724.3974999999999,366.365,509.4925
2021-01-04 16:00:00,726.31,367.76,514.62
2021-01-04 16:15:00,726.3475,351.63,519.755
2021-01-04 16:30:00,726.385,335.5,524.89
2021-01-04 16:45:00,726.4225,319.37,530.025
2021-01-04 17:00:00,726.46,303.24,535.16
2021-01-04 17:15:00,646.6750000000001,303.245,526.68
2021-01-04 17:30:00,566.89,303.25,518.2
2021-01-04 17:45:00,487.105,303.255,509.72
2021-01-04 18:00:00,407.32,303.26,501.24
2021-01-04 18:15:00,401.5475,303.36,491.11
2021-01-04 18:30:00,395.775,303.46000000000004,480.98
2021-01-04 18:45:00,390.0025,303.56,470.85
2021-01-04 19:00:00,384.23,303.66,460.72
2021-01-04 19:15:00,344.14,303.66,442.40000000000003
2021-01-04 19:30:00,304.05,303.66,424.08000000000004
2021-01-04 19:45:00,263.96000000000004,303.66,405.76
2021-01-04 20:00:00,223.87,303.66,387.44
2021-01-04 20:15:00,212.41,238.9375,343.6925
2021-01-04 20:30:00,200.95,174.215,299.945
2021-01-04 20:45:00,189.49,109.4925,256.1975
2021-01-04 21:00:00,178.03,44.77,212.45
2021-01-04 21:15:00,153.6375,45.370000000000005,170.8725
2021-01-04 21:30:00,129.245,45.97,129.295
2021-01-04 21:45:00,104.85249999999999,46.57,87.71749999999999
2021-01-04 22:00:00,80.46,47.17,46.14
2021-01-04 22:15:00,81.6225,50.7975,78.73
2021-01-04 22:30:00,82.785,54.425,111.32000000000001
2021-01-04 22:45:00,83.94749999999999,58.0525,143.91000000000003
2021-01-04 23:00:00,85.11,61.68,176.5
2021-01-04 23:15:00,80.52250000000001,60.605000000000004,156.82
2021-01-04 23:30:00,75.935,59.53,137.14
2021-01-04 23:45:00,71.3475,58.455,117.46000000000001
2021-01-05 00:00:00,66.76,57.38,97.78
2021-01-05 00:15:00,66.5,58.94,88.0125
2021-01-05 00:30:00,66.24000000000001,60.5,78.245
2021-01-05 00:45:00,65.98,62.06,68.47749999999999
